Category: All categories

Day,Coronavirus: (Worldwide)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,2
2020-01-22,4
2020-01-23,5
2020-01-24,8
2020-01-25,10
2020-01-26,11
2020-01-27,12
2020-01-28,15
2020-01-29,14
2020-01-30,16
2020-01-31,17
2020-02-01,12
2020-02-02,10
2020-02-03,9
2020-02-04,8
2020-02-05,7
2020-02-06,8
2020-02-07,8
2020-02-08,8
2020-02-09,7
2020-02-10,7
2020-02-11,7
2020-02-12,6
2020-02-13,7
2020-02-14,6
2020-02-15,5
2020-02-16,5
2020-02-17,5
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,7
2020-02-22,12
2020-02-23,17
2020-02-24,20
2020-02-25,25
2020-02-26,29
2020-02-27,28
2020-02-28,29
2020-02-29,27
2020-03-01,25
2020-03-02,31
2020-03-03,31
2020-03-04,34
2020-03-05,35
2020-03-06,36
2020-03-07,35
2020-03-08,39
2020-03-09,47
2020-03-10,55
2020-03-11,63
2020-03-12,95
2020-03-13,95
2020-03-14,86
2020-03-15,100
2020-03-16,98
2020-03-17,92
2020-03-18,90
2020-03-19,88
2020-03-20,84
2020-03-21,88
2020-03-22,95
2020-03-23,82
2020-03-24,76
2020-03-25,74
2020-03-26,72
2020-03-27,73
2020-03-28,73
2020-03-29,70
2020-03-30,60
2020-03-31,58
2020-04-01,55
2020-04-02,55
2020-04-03,70
2020-04-04,74
2020-04-05,75
2020-04-06,63
2020-04-07,64
2020-04-08,63
2020-04-09,59
2020-04-10,59
2020-04-11,47
2020-04-12,44
2020-04-13,58
2020-04-14,54
2020-04-15,54
2020-04-16,52
2020-04-17,52
2020-04-18,51
2020-04-19,46
2020-04-20,39
2020-04-21,41
2020-04-22,33
2020-04-23,41
2020-04-24,43
2020-04-25,38
2020-04-26,36
2020-04-27,30
2020-04-28,28
2020-04-29,28
2020-04-30,25
2020-05-01,27
2020-05-02,27
2020-05-03,27
2020-05-04,25
2020-05-05,24
2020-05-06,24
2020-05-07,24
2020-05-08,23
2020-05-09,24
2020-05-10,24
2020-05-11,23
2020-05-12,22
2020-05-13,22
2020-05-14,21
2020-05-15,21
