Category: All categories

Day,Fake news: (Worldwide)
2020-01-01,11
2020-01-02,16
2020-01-03,17
2020-01-04,15
2020-01-05,16
2020-01-06,19
2020-01-07,26
2020-01-08,27
2020-01-09,26
2020-01-10,23
2020-01-11,18
2020-01-12,20
2020-01-13,21
2020-01-14,23
2020-01-15,23
2020-01-16,23
2020-01-17,16
2020-01-18,16
2020-01-19,15
2020-01-20,21
2020-01-21,23
2020-01-22,22
2020-01-23,23
2020-01-24,22
2020-01-25,20
2020-01-26,30
2020-01-27,29
2020-01-28,30
2020-01-29,30
2020-01-30,36
2020-01-31,36
2020-02-01,25
2020-02-02,24
2020-02-03,31
2020-02-04,32
2020-02-05,27
2020-02-06,29
2020-02-07,28
2020-02-08,19
2020-02-09,24
2020-02-10,28
2020-02-11,29
2020-02-12,41
2020-02-13,33
2020-02-14,27
2020-02-15,18
2020-02-16,20
2020-02-17,28
2020-02-18,28
2020-02-19,33
2020-02-20,32
2020-02-21,29
2020-02-22,30
2020-02-23,26
2020-02-24,28
2020-02-25,34
2020-02-26,36
2020-02-27,37
2020-02-28,40
2020-02-29,26
2020-03-01,25
2020-03-02,36
2020-03-03,39
2020-03-04,42
2020-03-05,45
2020-03-06,38
2020-03-07,26
2020-03-08,31
2020-03-09,53
2020-03-10,51
2020-03-11,52
2020-03-12,70
2020-03-13,66
2020-03-14,87
2020-03-15,97
2020-03-16,82
2020-03-17,87
2020-03-18,92
2020-03-19,96
2020-03-20,100
2020-03-21,92
2020-03-22,89
2020-03-23,92
2020-03-24,89
2020-03-25,80
2020-03-26,78
2020-03-27,77
2020-03-28,78
2020-03-29,70
2020-03-30,76
2020-03-31,75
2020-04-01,88
2020-04-02,71
2020-04-03,68
2020-04-04,68
2020-04-05,68
2020-04-06,87
2020-04-07,78
2020-04-08,65
2020-04-09,56
2020-04-10,56
2020-04-11,51
2020-04-12,45
2020-04-13,52
2020-04-14,60
2020-04-15,52
2020-04-16,54
2020-04-17,53
2020-04-18,45
2020-04-19,49
2020-04-20,49
2020-04-21,55
2020-04-22,50
2020-04-23,61
2020-04-24,62
2020-04-25,59
2020-04-26,61
2020-04-27,57
2020-04-28,50
2020-04-29,53
2020-04-30,57
2020-05-01,49
2020-05-02,49
2020-05-03,51
2020-05-04,54
2020-05-05,57
2020-05-06,62
2020-05-07,58
2020-05-08,47
2020-05-09,42
2020-05-10,37
2020-05-11,46
2020-05-12,49
2020-05-13,48
2020-05-14,46
2020-05-15,44
